YXDM,YXMC,SSDM,SSMC,BXLXDM,BXLXMC,XZLBDM,XZLBMC,SF211,SF985
12418,河北能源职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12423,湖南体育职业学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,10,体育院校,否,否
12424,石家庄铁路职业技术学院,13,河北省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12425,湖南工程职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12440,东营职业学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12441,聊城职业技术学院,37,山东省,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12443,兴安职业技术学院,15,内蒙古自治区,14,普通高等学校:专科院校:高等职业学校,06,师范院校,否,否
12448,北京农业职业学院,11,北京市,14,普通高等学校:专科院校:高等职业学校,03,农业院校,否,否
12451,北京政法职业学院,11,北京市,14,普通高等学校:专科院校:高等职业学校,09,政法院校,否,否
12453,中国劳动关系学院,11,北京市,12,普通高等学校:本科院校:学院,08,财经院校,否,否
12481,拉萨师范高等专科学校,54,西藏自治区,13,普通高等学校:专科院校:高等专科学校,06,师范院校,否,否
12482,克拉玛依职业技术学院,65,新疆维吾尔自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12484,天津滨海职业学院,12,天津市,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
12487,天津工程职业技术学院,12,天津市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12490,黑龙江艺术职业学院,23,黑龙江省,14,普通高等学校:专科院校:高等职业学校,11,艺术院校,否,否
12493,上海行健职业学院,31,上海市,14,普通高等学校:专科院校:高等职业学校,08,财经院校,否,否
12495,上海城建职业学院,31,上海市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12497,上海交通职业技术学院,31,上海市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12498,上海海事职业技术学院,31,上海市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12499,上海电子信息职业技术学院,31,上海市,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12510,陕西能源职业技术学院,61,陕西省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
12511,甘肃建筑职业技术学院,62,甘肃省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
